ax,ay,az
13348,-748,-13824
7204,-5916,-12088
4688,-2168,-15768
5364,1044,-18148
7808,3724,-16976
11364,2404,-14460
11252,-2336,-12948
6072,-4932,-13432
3668,-1672,-16728
6320,772,-17328
9076,3932,-15552
12612,652,-14352
8240,-5244,-12732
4636,-3560,-15196
2940,88,-17096
8472,3812,-17584
11852,1948,-14720
10924,-1580,-12536
5844,-4416,-13668
2992,-588,-16532
5240,2320,-17120
10136,3344,-17208
13364,-480,-14420
7988,-5284,-12104
4960,-2452,-15084
4328,912,-17464
7876,2924,-17332
10524,2272,-14468
11644,-1156,-13368
6424,-5032,-13068
3656,-2128,-16704
5856,1148,-17880
9028,3944,-15964
12548,676,-14416
8376,-4904,-12728
4940,-3608,-14980
3716,-184,-17376
7948,3688,-17376
11324,2544,-14784
11940,-1528,-12744
5780,-5016,-13048
2744,-1364,-16060
4812,1776,-17260
9472,3380,-17208
13336,220,-14564
8396,-4808,-11704
5280,-3000,-14836
3536,264,-16636
7380,1708,-17100
9424,3704,-15676
12396,72,-14004
7320,-5292,-12604
4324,-3480,-15708
4800,1492,-17840
8620,4024,-16936
11888,1536,-14356
9856,-2904,-12504
5928,-4116,-14272
4124,-44,-17388
6328,2704,-16836
10592,3308,-16316
13264,-884,-13632
6860,-5848,-12228
4564,-2128,-16164
4968,476,-17764
7856,4080,-17104
12316,2324,-15084
10404,-3176,-12648
5740,-4420,-13640
3428,-1500,-16504
7100,940,-17608
9432,3744,-15676
12028,496,-13924
7672,-5244,-12584
4352,-3292,-15404
3716,696,-17412
8988,3812,-17336
11728,1416,-14216
10156,-1960,-12388
5884,-4272,-14148
3876,-156,-17184
5620,2532,-17068
10684,3496,-16844
13428,-820,-14056
7068,-5884,-11900
4592,-2196,-15752
5332,1104,-18080
8056,3748,-16984
11560,2264,-14728
10992,-2348,-12812
5980,-4968,-13400
3736,-1576,-16676
6380,764,-17456
9340,3860,-15752
12416,612,-14032
7872,-5120,-12444
4596,-3376,-15264
3176,92,-17216
8924,3764,-17824
11596,1684,-14416
10760,-1812,-12252
5696,-4340,-13752
3396,-224,-17112
5460,2404,-17232
10228,3104,-17072
13352,-440,-14180
7748,-5512,-12000
4868,-2392,-15432
4676,1312,-17332
7980,3028,-17296
10736,2104,-14808
11228,-1544,-13132
6300,-5012,-13044
3820,-2092,-16576
6032,1024,-17984
9304,3880,-16088
12512,676,-14220
8076,-4980,-12592
4972,-3572,-15476
3272,-256,-17112
8056,3668,-17304
11424,2260,-14776
11672,-1468,-12924
5656,-4888,-13380
2532,-1452,-16120
4912,1632,-17116
9560,3416,-17204
13124,40,-14408
8160,-4924,-12016
5200,-2992,-15004
3604,648,-16984
7600,2112,-17248
10036,2404,-14708
11576,-732,-13668
6592,-4760,-13124
3472,-2316,-16340
5220,1860,-17652
9804,3796,-16716
12736,404,-14260
8216,-4412,-12292
5364,-3420,-15236
3376,-600,-17180
7224,3076,-17040
11184,2880,-15096
12656,-1268,-13128
5744,-5236,-12792
3432,-2484,-16400
5528,684,-17816
8568,4024,-17040
12704,1132,-14520
8976,-4936,-12080
5156,-3492,-14796
3196,-384,-16576
7180,1620,-17072
9788,2588,-14704
11732,-252,-13540
7256,-4800,-13316
3540,-2696,-16064
4440,2164,-17140
10152,3772,-17068
12748,312,-14348
8744,-3584,-12228
5492,-3628,-14780
3832,-296,-17456
6376,2800,-17272
10828,3248,-15964
12884,-1160,-13192
6072,-5548,-12424
4200,-2316,-16560
5964,676,-18108
8368,4348,-16768
12332,1892,-14172
9592,-4336,-12184
5672,-3884,-14384
3252,-936,-16596
6852,1456,-17092
9892,3052,-15280
12200,-56,-13972
7076,-5052,-12772
3556,-2888,-15508
4000,1540,-17152
10124,3788,-17748
12272,700,-13940
9156,-2644,-11776
5772,-3872,-15064
4112,-104,-17700
6220,2740,-16884
10832,3336,-16324
13008,-1104,-13596
6688,-5932,-12240
4412,-2000,-15964
6096,1160,-18432
8492,4320,-17108
11572,1772,-13912
10048,-3184,-12316
5984,-4284,-14008
3448,-1248,-16972
5928,1280,-17292
9740,3480,-15264
12608,-56,-14048
7360,-5104,-12724
4072,-3052,-15608
3648,652,-17076
9488,3824,-17792
11992,1496,-14300
10132,-2316,-12000
5772,-4152,-14256
3476,-132,-16840
5920,2340,-17016
10136,3312,-16688
13252,-604,-14148
7484,-5928,-12108
4396,-2388,-15384
5376,1612,-17864
8132,3432,-17288
10820,1972,-14240
10724,-2004,-12896
6260,-4776,-13728
3304,-1136,-16864
5556,1532,-17160
10076,3804,-15944
12956,-144,-13944
7456,-5120,-12512
4220,-2884,-15468
3020,96,-17208
8520,3320,-17684
11888,2052,-14672
11064,-1700,-12220
5888,-4620,-13800
2664,-2128,-16280
5448,956,-16972
9468,3744,-16548
12800,96,-14120
7908,-5360,-11960
5036,-3104,-15440
4252,1088,-17368
7684,2860,-16916
10840,2504,-14444
11164,-1356,-13280
6512,-4612,-13516
3548,-1396,-16308
5568,2180,-17408
10324,3616,-16612
12908,-296,-13784
7852,-4804,-12156
4848,-3028,-15512
2912,-608,-17072
7484,3108,-17364
11624,2724,-15404
11712,-1676,-12492
5708,-4860,-12920
3464,-2640,-16360
5932,612,-17804
9140,4256,-17016
12432,800,-13920
8292,-5232,-11948
4972,-3324,-15136
3404,536,-17344
7496,2908,-17308
10612,2380,-14788
11584,-872,-13136
6620,-4984,-13336
3384,-2080,-16208
4780,1736,-17072
10368,3672,-17164
12704,108,-14116
8196,-4164,-11956
5264,-3344,-15448
3804,-204,-17512
6912,2984,-17004
11156,3116,-15632
12416,-1188,-13176
5880,-5512,-12728
3968,-2424,-16236
6212,916,-17900
9572,4388,-17176
12212,1180,-13672
8584,-4868,-11564
5508,-3580,-14884
3464,100,-17352
6988,2708,-17104
10476,2788,-14884
12036,-628,-13576
6636,-5188,-13076
3472,-2220,-15868
4232,1392,-16896
10408,3636,-17668
12224,288,-13840
8872,-3732,-11680
5464,-3560,-15284
4032,232,-17632
6764,2764,-17024
10700,3068,-15744
12528,-724,-13436
6148,-5888,-12532
4284,-2100,-16172
6324,1208,-18248
9036,4336,-17168
11672,1568,-13836
9172,-4068,-12288
5660,-4004,-14748
3724,-44,-17396
6524,2432,-17108
10392,3056,-15356
12440,-564,-13792
6592,-5220,-12860
3524,-2140,-15872
3792,1400,-16916
10260,3648,-17912
12396,644,-14016
9320,-3156,-11788
5672,-3772,-14896
3360,136,-17256
6232,2112,-17120
10236,3212,-16116
12920,-520,-13752
6836,-5864,-12348
4284,-2412,-16136
6080,1768,-18376
8748,4060,-16848
11448,1628,-13860
9824,-3240,-12432
5912,-4340,-14448
3628,-276,-17376
6316,2080,-17092
10484,3280,-15668
12804,-552,-14004
6556,-5332,-12568
3752,-2240,-15604
3640,996,-17084
9624,3512,-17760
12320,1076,-14140
9856,-2480,-11680
5696,-4060,-14420
2912,-652,-16788
6120,1444,-16848
9800,3428,-15908
12960,-220,-13980
7144,-5668,-12260
4352,-2728,-15732
5516,1904,-18080
8576,3612,-17024
11068,1680,-14076
10032,-2400,-12992
6372,-4688,-14044
3792,-692,-17456
