ax,ay,az
9504,1460,-14008
12292,4376,-13340
15388,3144,-10132
15492,-440,-9160
13444,-616,-10312
11232,2400,-12884
12436,6340,-13516
14880,5952,-10868
16268,2404,-8616
14608,244,-9268
12408,1764,-13520
12260,5440,-14880
14228,6464,-14012
16052,3968,-11204
14636,-704,-11156
11592,-2016,-13544
8608,380,-16808
9148,2936,-17204
10416,476,-14000
9988,-5344,-12520
6616,-8652,-12640
3552,-7540,-16388
3716,-4424,-17448
5488,-4620,-16196
7412,-7964,-13340
6636,-11772,-13172
5104,-11576,-15928
4400,-7848,-17632
7080,-4432,-17468
10708,-5412,-13980
11204,-9520,-12464
9880,-9368,-13848
8588,-5304,-17092
10448,-544,-16844
12976,-160,-13124
14976,-2424,-10864
13996,-4196,-10412
12024,-2244,-13176
11888,2416,-13644
14232,5176,-12516
17420,4660,-9316
17176,1232,-9204
15204,596,-11252
13496,3996,-13460
15520,8408,-13208
18036,7688,-9388
18716,3472,-7888
16096,1564,-9488
13312,3828,-13480
13544,8312,-13576
15876,8912,-11096
17828,6392,-8484
16620,2628,-8948
13968,2364,-12076
11936,5016,-14024
13372,7404,-13464
15664,5128,-10904
15316,-376,-9724
11868,-2964,-11016
8384,-1192,-14460
8228,1496,-15724
8896,232,-13884
9636,-3564,-11460
7348,-8464,-11596
4448,-9520,-13952
2380,-6296,-15632
4140,-3892,-15568
7076,-6040,-13084
6636,-11136,-11964
4572,-11740,-12796
3264,-7860,-15452
5132,-3344,-15680
7488,-4148,-13100
8992,-7172,-11820
7812,-9544,-12080
6640,-7364,-14940
7592,-2680,-14912
10100,-424,-14104
13068,-2108,-11812
13440,-5656,-11416
12024,-5156,-12584
11084,-804,-14024
13536,3556,-13864
16724,3128,-11032
17584,-684,-9552
15556,-1640,-10472
13712,2084,-13440
14724,6796,-13824
17044,7936,-11736
18724,5648,-9168
17536,2688,-10116
15000,3492,-13256
13492,7372,-14164
15664,10092,-13040
18360,8400,-9572
17868,3852,-8580
14904,2428,-10844
12784,5200,-14680
13500,8436,-15428
14980,6784,-12644
15732,1956,-11348
13108,-2276,-12216
9628,-2364,-15376
7820,96,-16940
9452,720,-16884
11144,-1984,-13932
9604,-7676,-11984
6216,-9596,-13504
3980,-7036,-15648
5532,-3288,-13844
7488,-4704,-10448
7984,-9360,-9604
5452,-11336,-9708
3560,-8448,-12272
4628,-3724,-11988
7068,-2444,-10056
8872,-4476,-8804
8188,-7588,-9328
6960,-6896,-10792
6824,-2744,-11500
9328,624,-11864
12556,-1256,-10196
13472,-5588,-8380
12436,-5980,-9448
11800,-2820,-11920
13560,1748,-12480
15860,1408,-11344
17760,-1812,-9872
17076,-3776,-8900
15244,-2236,-11556
14744,2156,-13632
17092,4800,-13460
19544,3280,-10804
19024,-632,-10720
16620,-1168,-12480
14596,2956,-15448
15932,7160,-15768
17512,6108,-12604
17780,2464,-10772
15052,476,-11756
12132,2736,-15376
11792,7104,-16332
13296,7824,-14588
14616,5176,-12216
13084,628,-11912
10304,-160,-13796
7972,2488,-16208
9116,4528,-16052
11324,2176,-12400
11056,-3552,-10968
7800,-6504,-11256
5032,-4564,-13996
6028,-1408,-14212
8220,-2112,-11440
9668,-5484,-8576
8084,-9284,-8716
5828,-9128,-11888
5356,-5320,-13100
8324,-2516,-11788
11112,-4200,-9060
10980,-9136,-8984
9164,-9200,-11720
7772,-5240,-14152
9984,-1272,-13872
12432,-2376,-11584
13660,-5956,-10588
12316,-7548,-10320
11028,-5244,-12816
11764,-1036,-13820
14024,256,-13260
16528,-1216,-11160
16532,-4552,-10628
14640,-4284,-12456
13232,-104,-14328
15320,4104,-14164
17764,3796,-11056
18088,-212,-10528
15388,-1444,-12248
13036,2048,-15172
13940,6864,-15520
15824,6816,-12972
16760,4244,-10700
14988,1348,-11076
12548,2116,-13748
11160,5936,-14916
12856,8232,-13824
15544,6584,-11036
14876,1628,-9824
12160,216,-11496
9796,3352,-14312
10972,6796,-14380
13152,4808,-11652
13728,644,-9732
11364,-2812,-9472
8312,-2260,-12296
7332,1028,-14028
9308,1408,-13296
11332,-1296,-9428
10332,-6404,-7584
7288,-7700,-10356
4936,-4976,-13648
6588,-1656,-13204
9808,-3272,-9540
10424,-8004,-7288
8400,-9816,-8360
6856,-7292,-12552
8320,-3448,-13628
10536,-3328,-11400
12248,-5592,-9120
11456,-8568,-9520
10088,-7908,-12852
9896,-4228,-14256
12360,-1428,-13472
15292,-1992,-10492
15524,-5788,-9756
13920,-6824,-11836
13028,-3416,-15616
14664,1112,-15336
17004,1472,-11044
18368,-568,-9288
16676,-3116,-10408
14028,-1472,-14100
13780,2940,-15336
16244,5744,-12652
17780,4776,-9148
16584,1368,-10012
14388,304,-13228
12488,2940,-15500
13824,7280,-14464
16116,7128,-9860
15920,3436,-8176
13212,1624,-10440
11048,3672,-14632
11760,7364,-14816
13308,8444,-11028
14620,5908,-7764
13224,1384,-9076
10596,868,-12656
8720,3516,-13892
10240,5188,-12540
12868,3220,-9320
11696,-1932,-8904
9092,-5572,-9788
6588,-3600,-13764
7208,-116,-14860
9740,-1852,-10628
11008,-5444,-6988
8980,-8648,-7784
6852,-8520,-12612
7096,-5192,-14956
9844,-2972,-12836
12048,-3976,-8272
11516,-8368,-8164
10004,-9536,-12424
8804,-7200,-15800
10400,-3232,-15548
12320,-3028,-11632
13500,-5008,-9768
11992,-7840,-10960
10704,-7412,-14340
11024,-3356,-15852
13308,-452,-13988
15580,-860,-9956
15468,-4588,-9204
13628,-5072,-12904
12376,-1560,-15592
14164,2876,-14192
16504,3520,-9596
16960,700,-7968
14752,-1248,-10464
12496,700,-15748
13212,4752,-16256
15616,7180,-12328
17128,5740,-7624
15572,2496,-8740
13008,2312,-13708
11420,4952,-16152
13268,8412,-13832
15604,8176,-8040
15196,4120,-6580
12704,1796,-10520
10760,3668,-15416
11956,7300,-15084
14092,7296,-10120
15352,4472,-7116
13328,-116,-8856
10620,-764,-13436
9528,2332,-14492
11544,3760,-12708
13844,1612,-7888
12092,-2776,-7436
9408,-5928,-11220
7620,-4300,-14724
8316,-368,-13692
10844,-1812,-9324
11616,-6084,-6920
8940,-8808,-8412
7260,-8284,-14168
8296,-4848,-15536
10168,-3140,-12480
12104,-4720,-8500
11336,-8600,-9384
9376,-9188,-14176
8832,-6132,-16568
11016,-2764,-15184
13460,-2852,-11004
13440,-6700,-9572
11992,-8180,-12608
11152,-5424,-16868
12396,-1404,-16844
14384,44,-12428
16076,-1324,-9260
14572,-3668,-10156
12176,-3576,-14680
11400,648,-16720
13740,4580,-14100
16292,4708,-8996
15756,1048,-8136
13400,-532,-12516
11360,2284,-16528
12868,6520,-15732
15432,6792,-10212
16488,3992,-6920
14384,1888,-8840
12132,2752,-14092
12628,6360,-15444
14468,8252,-11572
16056,7300,-6440
15228,3392,-6464
12980,1520,-11428
10972,3584,-15524
12536,6612,-14164
15188,5832,-8580
15332,1308,-5880
12412,-2220,-8720
9740,-1804,-14748
10336,1280,-15556
11928,1500,-10836
13132,-1004,-6768
11132,-5968,-7136
8224,-7636,-12252
6668,-5012,-14812
8776,-2004,-12764
11328,-2328,-7776
10592,-7396,-6852
8500,-9644,-10644
6988,-7484,-15592
8784,-3572,-15036
11060,-3440,-9788
11996,-5884,-7560
10312,-8508,-10560
8712,-7968,-15748
9500,-4328,-15976
12148,-1632,-12772
14088,-1964,-8560
13908,-5620,-9036
12232,-6472,-13964
11300,-3120,-17280
13280,1104,-16008
16212,1824,-10760
17072,-524,-8712
14904,-2500,-11468
12904,-728,-16804
13692,3548,-17840
15976,5668,-13432
17856,4888,-8020
16552,1896,-9376
14000,796,-14612
12676,3412,-17400
14760,6760,-15028
17240,6832,-9084
16816,3256,-6656
14056,1228,-10336
11704,2984,-15848
12740,6724,-16024
14620,7252,-9732
15804,4780,-5316
13576,920,-7120
10792,136,-12920
9916,2956,-15144
11796,5140,-12128
13996,3808,-6520
13100,-1332,-5680
9936,-4428,-9988
7480,-2944,-14744
8580,120,-13984
11160,-760,-8372
11788,-4416,-5308
8716,-7940,-7568
6588,-7680,-13980
7632,-4472,-15276
9892,-2700,-10780
11628,-3860,-5924
10880,-7732,-7184
9284,-9216,-12852
8628,-6036,-15540
10908,-2476,-13956
13704,-2708,-8912
13344,-6468,-8064
11820,-7988,-11828
10928,-5928,-16420
12648,-2148,-15912
14380,-612,-11468
16256,-1612,-8188
15080,-4576,-9996
12844,-4572,-14940
12016,-748,-16688
14516,3168,-14344
17020,3500,-8692
16332,128,-7632
13936,-1272,-11972
12328,976,-16944
13628,5064,-16336
15976,5844,-10744
17032,3528,-7048
14880,1076,-9096
12464,1472,-15204
12344,4512,-17116
14488,6888,-13392
16472,6284,-6856
15572,2436,-6360
13304,740,-11712
11036,2736,-16512
12312,5760,-15140
15136,5236,-8884
15316,1464,-5664
12620,-1668,-7840
9852,-1580,-14176
9976,1268,-15508
11896,2096,-10456
13336,112,-5304
11416,-4572,-5584
8460,-6392,-11160
7028,-4736,-14640
9060,-1664,-13012
11592,-1756,-7308
11040,-6132,-5608
9208,-8680,-9268
8064,-7060,-15012
10164,-3724,-14636
11924,-2988,-9176
13120,-4668,-6244
11224,-7880,-8644
9656,-8312,-14712
10364,-5020,-16588
12720,-1788,-13448
14636,-1608,-8268
14296,-4968,-8036
12692,-6128,-12260
11580,-3596,-17088
13472,508,-16944
16060,1148,-11180
16728,-864,-7420
14768,-2520,-8952
12436,-1832,-15520
13068,1980,-17904
14952,4040,-14116
16628,4032,-7316
15852,1228,-6116
13548,-20,-11788
11720,1888,-17156
13492,5644,-16652
16080,5860,-10200
16196,3036,-5144
13860,1404,-7368
11576,2228,-14876
12000,4584,-18060
13668,5332,-13684
15328,4192,-6096
13708,968,-4376
11004,-684,-11012
9412,664,-17692
11172,2536,-17228
13776,2392,-9148
13336,-1500,-4248
10944,-4296,-7168
8444,-3920,-15536
9084,-1448,-18820
11652,-1464,-12852
13336,-3564,-5328
11360,-6468,-3872
8824,-7120,-11776
8812,-4716,-18444
10984,-3068,-16792
13136,-3204,-8008
13100,-5488,-3632
10972,-6540,-8804
9316,-5000,-17132
11048,-2548,-19276
13616,-2232,-13020
14160,-3440,-5532
12680,-4380,-5792
11092,-3736,-14052
12020,-1460,-19488
13948,72,-16492
16104,360,-8248
15776,-1716,-4128
13208,-2048,-9260
11388,28,-16676
13392,3292,-18920
15700,3376,-12300
15968,1408,-4952
13996,824,-5872
11600,1848,-14128
12088,4144,-19864
13592,4356,-16440
15356,3648,-7992
14240,1924,-4020
12136,1224,-9776
11120,3032,-17252
12568,4504,-18988
14664,3956,-11708
15064,1176,-4760
12888,-68,-6028
10268,208,-13828
10852,1880,-19520
12932,1204,-15820
13808,-1188,-7708
11324,-3460,-3456
9188,-3736,-8020
8796,-2264,-15988
9904,-1968,-18660
11508,-2804,-11764
11344,-5808,-3944
9288,-6584,-4532
7468,-5000,-12728
8848,-3608,-18448
11496,-4336,-14924
12480,-6192,-6712
11040,-6316,-3548
9476,-5992,-11260
10472,-3368,-17772
11964,-2876,-17060
13760,-3644,-10476
13392,-5212,-4484
12000,-4412,-7276
11060,-2372,-14052
12932,-960,-18728
15428,-1464,-15344
15788,-3624,-8716
14572,-2252,-5440
12816,312,-10352
13748,2964,-16664
15612,2148,-16984
17036,660,-11772
15628,208,-6284
13900,1952,-7832
13144,4360,-13664
14864,5564,-17640
16528,4400,-14516
16232,2788,-8712
14468,3888,-6364
12432,6264,-11004
13256,7676,-17108
14816,6016,-16968
15168,3584,-11532
13704,2752,-5968
12104,3808,-6996
11300,5692,-12616
12280,5128,-17440
13844,2980,-15648
13296,-456,-9456
11360,-1812,-5752
8792,84,-10140
9144,1408,-16752
11264,-1884,-17220
12248,-5284,-10780
10104,-6684,-4424
7808,-6204,-6732
8300,-4508,-14016
9908,-4664,-17980
11768,-6560,-12796
11568,-8744,-5480
10252,-7844,-5568
